Journal title,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
"Radiation Protection Dosimetry","Radiat Prot Dosimetry","0144-8420","1742-3406","Oxford University Press","8109958","v.174(3);Apr 2017","v.131;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Radiat+Prot+Dosimetry%22%5Bjournal%5D
"Radiographics","Radiographics","0271-5333","1527-1323","Radiological Society of North America","8302501","v.33(6);Oct 2013","v.29;2009","","No"," NIH Portfolio "," Now Select ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Radiographics%22%5Bjournal%5D
"Radiologia Brasileira","Radiol Bras","0100-3984","1678-7099","Colegio Brasileiro De Radiologia","1305000","v.50(2);Mar-Apr 2017","v.47;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2685/
"Radiology Case Reports","Radiol Case Rep","","1930-0433","Elsevier","101467888","v.12(2);Jun 2017","v.1;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2848/
"Radiology and Oncology","Radiol Oncol","1318-2099","1581-3207","De Gruyter Open","9317213","v.51(1);Mar 1, 2017","v.44;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1836/
"Radiology Research and Practice","Radiol Res Pract","2090-1941","2090-195X","Hindawi Publishing Corporation","101566860","v.2017;2017","v.2011;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1635/
"Radiology","Radiology","0033-8419","1527-1315","Radiological Society of North America","0401260","v.270(2);February 2014","v.246;2008","","No"," NIH Portfolio "," Now Select ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Radiology%22%5Bjournal%5D
"Rambam Maimonides Medical Journal","Rambam Maimonides Med J","","2076-9172","Rambam Health Care Campus","101538065","v.8(2);Apr 2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2070/
"Rand Health Quarterly","Rand Health Q","","2162-8254","The RAND Corporation","101622976","v.6(1);Jun 20, 2016","v.1;2011","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2861/
"Rare Diseases","Rare Dis","","2167-5511","Taylor &#x0026; Francis","101603407","v.4(1);2016","v.1;2013","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2206/
"Rare Tumors","Rare Tumors","2036-3605","2036-3613","PAGEPress","101526926","v.9(1);Mar 24, 2017","v.1;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1377/
"Redox Biology","Redox Biol","","2213-2317","Elsevier","101605639","v.13;Oct 2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2171/
"Regenerative Biomaterials","Regen Biomater","2056-3418","2056-3426","Oxford University Press","101652150","v.4(1);Feb 2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2842/
"Regenerative Medicine","Regen Med","1746-0751","1746-076X","Future Science Group","101278116","v.12(2);Mar 2017","v.10;2015","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Regen+Med%22%5Bjournal%5D
"Regenerative Medicine Research","Regen Med Res","","2050-490X","EDP Sciences","101638057","v.4;2016","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2706/
"Regeneration","Regeneration (Oxf)","","2052-4412","Wiley-Blackwell","101626574","v.4(1);Feb 2017","v.1;2014","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2868/
"Rehabilitation Research and Practice","Rehabil Res Pract","2090-2867","2090-2875","Hindawi Publishing Corporation","101566862","v.2017;2017","v.2010;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1628/
"Rejuvenation Research","Rejuvenation Res","1549-1684","1557-8577","Mary Ann Liebert, Inc.","101213381","v.20(1);Feb 1, 2017","v.11;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Rejuvenation+Res%22%5Bjournal%5D
"Reports of Biochemistry &#x0026; Molecular Biology","Rep Biochem Mol Biol","","2322-3480","Varastegan Institute for Medical Sciences","101637937","v.5(2);Apr 2017","v.1;2012","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2859/
"Reports of Practical Oncology and Radiotherapy","Rep Pract Oncol Radiother","1507-1367","2083-4640","Elsevier","100885761","v.22(4);Jul-Aug 2017","v.15;2010","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2269/
"Reproductive Biology and Endocrinology : RB&#x0026;E","Reprod Biol Endocrinol","","1477-7827","BioMed Central","101153627","v.15;2017","v.1;2003","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/141/
"Reproductive Health","Reprod Health","","1742-4755","BioMed Central","101224380","v.14;2017","v.1;2004","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/251/
"Reproductive Sciences","Reprod Sci","1933-7191","1933-7205","SAGE Publications","101291249","v.22(7);Jul 2015","v.16;2009","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Reprod+Sci%22%5Bjournal%5D
"Research in Cardiovascular Medicine","Res Cardiovasc Med","2251-9572","2251-9580","Kowsar Medical Institute","101608315","v.5(4);Nov 2016","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2625/
"Research Letters in Biochemistry","Res Lett Biochem","1687-6709","1687-6717","Hindawi Publishing Corporation","101559041","v.2009;2009","v.2008;2008","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/1784/
"Research Newsletter","Res Newsl","","","Royal College of General Practitioners","16320090R","v.(17);Nov 1957","v.;1953","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/451/
"Research in Pharmaceutical Sciences","Res Pharm Sci","1735-5362","1735-9414","Medknow Publications","101516968","v.12(2);Apr 2017","v.4;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1515/
"Research and Reports in Urology","Res Rep Urol","","2253-2447","Dove Press","101576971","v.9;2017","v.4;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2214/
"Respiratory Care","Respir Care","0020-1324","1943-3654","American Association for Respiratory Care (AARC)","7510357","v.61(5);May 2016","v.60;2015","Immediate","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Respir+Care%22%5Bjournal%5D
"Respiratory Medicine Case Reports","Respir Med Case Rep","","2213-0071","Elsevier","101604463","v.21;2017","v.5;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2304/
"Respiratory Research","Respir Res","1465-9921","1465-993X","BioMed Central","101090633","v.18;2017","v.1;2000","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/80/
"Respiration","Respiration","0025-7931","1423-0356","Karger Publishers","0137356","v.85(6);May 2013","v.78;2009","","Some"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Respiration%22%5Bjournal%5D
"Respirology Case Reports","Respirol Case Rep","","2051-3380","Wiley-Blackwell","101631052","v.5(4);Jul 2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2562/
"Restorative Dentistry &#x0026; Endodontics","Restor Dent Endod","2234-7658","2234-7666","Korean Academy of Conservative Dentistry","101584377","v.42(2);May 2017","v.37;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2010/
"Results in Immunology","Results Immunol","","2211-2839","Elsevier","101568318","v.6;2016","v.1;2011","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2219/
"Results in Pharma Sciences","Results Pharma Sci","","2211-2863","Elsevier","101596331","v.6;2016","v.1;2011","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2303/
"Retrovirology","Retrovirology","","1742-4690","BioMed Central","101216893","v.14;2017","v.1;2004","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/244/
"Reumatologia","Reumatologia","0034-6233","2084-9834","National Institute of Geriatrics, Rheumatology and Rehabilitation","20130190R","v.55(2);2017","v.53;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2980/
"Revista Brasileira de Cirurgia Cardiovascular : &#x000f3;rg&#x000e3;o oficial da Sociedade Brasileira de Cirurgia Cardiovascular","Rev Bras Cir Cardiovasc","","","Sociedade Brasileira de Cirurgia Cardiovascular","9104279","v.30(4);Jul-Aug 2015","v.28;2013","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/2596/
"Revista Brasileira de Hematologia e Hemoterapia","Rev Bras Hematol Hemoter","1516-8484","1806-0870","Sociedade Brasileira de Hematologia e Hemoterapia","101220159","v.39(1);Jan-Mar 2017","v.33;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1792/
"Revista Brasileira de Ortopedia","Rev Bras Ortop","","2255-4971","Brazilian Society of Orthopedics and Traumatology","101660959","v.52(2);Mar-Apr 2017","v.44;2009","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2751/
"Revista Brasileira de Terapia Intensiva","Rev Bras Ter Intensiva","0103-507X","1982-4335","Associa&#x00e7;&#x00e3;o de Medicina Intensiva Brasileira","9506692","v.29(1);Jan-Mar 2017","v.24;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2378/
"The Review of Diabetic Studies : RDS","Rev Diabet Stud","1613-6071","1614-0575","Society for Biomedical Diabetes Research","101227575","v.11(3);Fall-Winter 2014","v.1;2004","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/392/
"Revista do Instituto de Medicina Tropical de S&#x000e3;o Paulo","Rev Inst Med Trop Sao Paulo","0036-4665","1678-9946","Instituto De Medicina Tropical De Sao Paulo","7507484","v.59;2017","v.55;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2484/
"Revista Latino-Americana de Enfermagem","Rev Lat Am Enfermagem","0104-1169","1518-8345","Escola de Enfermagem de Ribeirao Preto, Universidade de Sao Paulo","9420934","v.25;2017","v.22;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2571/
"Reviews in Obstetrics and Gynecology","Rev Obstet Gynecol","1941-2797","2153-8166","MedReviews, LLC","101479674","v.6(3-4);2013","v.1;2008","","No"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/667/
"Reviews in Pain","Rev Pain","","","SAGE Publications","101603318","v.5(4);Dec 2011","v.1;2007","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/2773/
"Revista Paulista de Pediatria","Rev Paul Pediatr","0103-0582","1984-0462","Sociedade De Pediatria De Sao Paulo","9109353","v.35(1);Jan-Mar 2017","v.31;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2569/
"Revista de Sa&#x000fa;de P&#x000fa;blica","Rev Saude Publica","0034-8910","1518-8787","Universidade de S&#x00E3;o Paulo. Faculdade de Sa&#x000fa;de P&#x000fa;blica.","0135043","v.51;2017","v.47;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2570/
"The Review of Scientific Instruments","Rev Sci Instrum","0034-6748","1089-7623","American Institute of Physics","0405571","v.88(2);Feb 2017","v.79;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Rev+Sci+Instrum%22%5Bjournal%5D
"Reviews in Urology","Rev Urol","1523-6161","2153-8182","MedReviews, LLC","100889067","v.19(1);2017","v.1;1999","1 month","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/373/
"Rheumatology and Therapy","Rheumatol Ther","2198-6576","2198-6584","Springer","101674543","v.3(2);Dec 2016","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3008/
"Rheumatology (Oxford, England)","Rheumatology (Oxford)","1462-0324","1462-0332","Oxford University Press","100883501","v.56(6);Jun 2017","v.47;2008","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Rheumatology+(Oxford)%22%5Bjournal%5D
"Rice","Rice (N Y)","1939-8425","1939-8433","Springer","101503136","v.10;2017","v.5;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2256/
"Risk Management and Healthcare Policy","Risk Manag Healthc Policy","","1179-1594","Dove Press","101566264","v.10;2017","v.1;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1703/
"RMD Open","RMD Open","","2056-5933","BMJ Publishing Group","101662038","v.3(1);2017","v.1;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2836/
"RNA","RNA","1355-8382","1469-9001","The RNA Society","9509184","v.23(6);Jun 2017","v.1;1995","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/329/
"RNA Biology","RNA Biol","1547-6286","1555-8584","Taylor &#x0026; Francis","101235328","v.14(4);2017","v.6;2009","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1369/
"Safety and Health at Work","Saf Health Work","2093-7911","2093-7997","Occupational Safety and Health Research Institute","101542940","v.8(1);Mar 2017","v.1;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1859/
"SAGE Open Medicine","SAGE Open Med","","2050-3121","SAGE Publications","101624744","v.5;2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2602/
"SAGE Open Medical Case Reports","SAGE Open Med Case Rep","","2050-313X","SAGE Publications","101638686","v.5;2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2887/
"Saline Systems","Saline Systems","","1746-1448","BioMed Central","101245795","v.7;2011","v.1;2005","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/332/
"Sarcoma","Sarcoma","1357-714X","1369-1643","Hindawi Publishing Corporation","9709257","v.2017;2017","v.1;1997","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/417/
"SAS Journal","SAS J","","1935-9810","International Society for the Advancement of Spine Surgery","101515146","v.5(4);2011","v.1;2007","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/2701/
"The Saudi Dental Journal","Saudi Dent J","1013-9052","1658-3558","Elsevier","9313603","v.29(2);Apr 2017","v.21;2009","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2023/
"Saudi Journal of Anaesthesia","Saudi J Anaesth","1658-354X","0975-3125","Medknow Publications","101500601","v.11(2);Apr-Jun 2017","v.3;2009","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1246/
"Saudi Journal of Biological Sciences","Saudi J Biol Sci","1319-562X","2213-7106","Elsevier","101543796","v.24(4);May 2017","v.16;2009","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2150/
"Saudi Journal of Gastroenterology : Official Journal of the Saudi Gastroenterology Association","Saudi J Gastroenterol","1319-3767","1998-4049","Medknow Publications","9516979","v.23(2);Mar-Apr 2017","v.14;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/917/
"Saudi Journal of Ophthalmology","Saudi J Ophthalmol","1319-4534","","Elsevier","9425601","v.31(2);Apr-Jun 2017","v.23;2009","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2036/
"Saudi Medical Journal","Saudi Med J","0379-5284","","Saudi Medical Journal","7909441","v.38(3);Mar 2017","v.35;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2699/
"Saudi Pharmaceutical Journal : SPJ","Saudi Pharm J","1319-0164","2213-7475","Elsevier","9705695","v.25(3);Mar 2017","v.17;2009","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2116/
"Scandinavian Journal of Food &#x0026; Nutrition","Scand J Food Nutr","1748-2976","1748-2984","Taylor &#x0026; Francis","101280719","v.51(4);Dec 2007","v.51;2007","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/827/
"Scandinavian Journal of Primary Health Care","Scand J Prim Health Care","0281-3432","1502-7724","Taylor &#x0026; Francis","8510679","v.35(1);Mar 2017","v.25;2007","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1551/
"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine","Scand J Trauma Resusc Emerg Med","","1757-7241","BioMed Central","101477511","v.25;2017","v.16;2008","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/707/
"Schizophrenia Bulletin","Schizophr Bull","0586-7614","1745-1701","Oxford University Press","0236760","v.43(1);Jan 2017","v.32;2006","12 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/356/
"Schizophrenia Research and Treatment","Schizophr Res Treatment","2090-2085","2090-2093","Hindawi Publishing Corporation","101576450","v.2017;2017","v.2011;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1885/
"Science Advances","Sci Adv","","2375-2548","American Association for the Advancement of Science","101653440","v.3(5);May 2017","v.1;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2850/
"Scientific Data","Sci Data","","2052-4463","Nature Publishing Group","101640192","v.4;2017","v.1;2014","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2628/
"Scientia Pharmaceutica","Sci Pharm","0036-8709","2218-0532","&#xD6;sterreichische Apotheker-Verlagsgesellschaft, m. b. H.","0026251","v.85(1);2017","v.78;2010","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1378/
"Science &#x0026; Practice Perspectives","Sci Pract Perspect","1930-4307","1930-4315","National Institute on Drug Abuse","101275423","v.3(2);Apr 2007","v.1;2002","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/1211/
"Scientific Reports","Sci Rep","","2045-2322","Nature Publishing Group","101563288","v.7;2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Sci+Rep%22%5Bjournal%5D
"Science and Technology of Advanced Materials","Sci Technol Adv Mater","1468-6996","1878-5514","National Institute for Materials Science and Taylor & Francis","101614420","v.18(1);2017","v.9;2008","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2687/
"Scientifica","Scientifica (Cairo)","","2090-908X","Hindawi Publishing Corporation","101589932","v.2017;2017","v.2012;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2236/
"The Scientific World Journal","ScientificWorldJournal","2356-6140","1537-744X","Hindawi Publishing Corporation","101131163","v.2017;2017","v.11;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1623/
"Scoliosis","Scoliosis","","1748-7161","BioMed Central","101271527","v.10;2015","v.1;2006","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/413/
"Scoliosis and Spinal Disorders","Scoliosis Spinal Disord","","2397-1789","BioMed Central","101675716","v.12;2017","v.11;2016","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2925/
"Self Nonself","Self Nonself","1938-2030","1938-2049","Taylor &#x0026; Francis","101495364","v.2(3);Jul-Dec 2011","v.1;2010","","No"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/1370/
"Seminars in Hearing","Semin Hear","0734-0451","1098-8955","Thieme Medical Publishers","8413380","v.38(2);May 2017","v.36;2015","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2934/
"Seminars in Interventional Radiology","Semin Intervent Radiol","0739-9529","1098-8963","Thieme Medical Publishers","8510974","v.34(1);Mar 2017","v.21;2004","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1209/
"Seminars in Plastic Surgery","Semin Plast Surg","1535-2188","1536-0067","Thieme Medical Publishers","101131275","v.31(2);May 2017","v.18;2004","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1208/
"Sensors (Basel, Switzerland)","Sensors (Basel)","","1424-8220","Multidisciplinary Digital Publishing Institute  (MDPI)","101204366","v.17(4);Apr 2017","v.3;2003","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1660/
"Sexual Development","Sex Dev","1661-5425","1661-5433","Karger Publishers","101316472","v.6(1-3);Feb 2012","v.2;2009","","Some"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Sex+Dev%22%5Bjournal%5D
"Sexual Medicine","Sex Med","","2050-1161","Elsevier","101631053","v.5(2);Jun 2017","v.1;2013","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2564/
"Sexually Transmitted Infections","Sex Transm Infect","1368-4973","1472-3263","BMJ Publishing Group","9805554","v.83(7);Dec 2007","v.74;1998","","Some"," Full "," Now Select ",http://www.ncbi.nlm.nih.gov/pmc/journals/176/
"Shanghai Archives of Psychiatry","Shanghai Arch Psychiatry","1002-0829","","Shanghai Mental Health Center","9891453","v.28(2);Apr 25, 2016","v.24;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2464/
"Shoulder &#x0026; Elbow","Shoulder Elbow","1758-5732","1758-5740","SAGE Publications","101506589","v.9(2);Apr 2017","v.6;2014","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2892/
"SICOT-J","SICOT J","","2426-8887","EDP Sciences","101675099","v.3;2017","v.1;2015","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2966/
"Silence","Silence","","1758-907X","BioMed Central","101525809","v.4;2013","v.1;2010","","All"," Full "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/journals/1198/
"Singapore Medical Journal","Singapore Med J","0037-5675","","Singapore Medical Association","0404516","v.58(5);May 2017","v.55;2014","Immediate","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2641/
"Skeletal Muscle","Skelet Muscle","","2044-5040","BioMed Central","101561193","v.7;2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1569/
"Skin Appendage Disorders","Skin Appendage Disord","2296-9195","2296-9160","Karger Publishers","101670617","v.3(2);May 2017","v.1;2015","12 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2974/
"Skin Pharmacology and Physiology","Skin Pharmacol Physiol","1660-5527","1660-5535","Karger Publishers","101188418","v.24(2);Jan 2011","v.22;2009","","No"," NIH Portfolio "," No New Content ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Skin+Pharmacol+Physiol%22%5Bjournal%5D
"Skull Base","Skull Base","1531-5010","1532-0065","Thieme Medical Publishers","101090660","v.21(6);Nov 2011","v.11;2001","6 months","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/223/
"Skull Base Reports","Skull Base Rep","2157-6971","2157-698X","Thieme Medical Publishers","101571406","v.1(2);Nov 2011","v.1;2011","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/2146/
"Skull Base Surgery","Skull Base Surg","1052-1453","","Thieme Medical Publishers","9111521","v.10(4);2000","v.1;1991","Immediate","No"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/434/
"Sleep","Sleep","0161-8105","1550-9109","Oxford University Press","7809084","v.39(12);Dec 1, 2016","v.30;2007","6 months","No"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/369/
"Sleep Disorders","Sleep Disord","2090-3545","2090-3553","Hindawi Publishing Corporation","101600304","v.2017;2017","v.2011;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2030/
"Sleep Science","Sleep Sci","1984-0659","1984-0063","Brazilian Association of Sleep and Latin American Federation of Sleep","101598477","v.9(4);Oct-Dec 2016","v.7;2014","Immediate","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2788/
"Small GTPases","Small GTPases","2154-1248","2154-1256","Taylor &#x0026; Francis","101530974","v.8(1);2017","v.1;2010","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1543/
"Social Cognitive and Affective Neuroscience","Soc Cogn Affect Neurosci","1749-5016","1749-5024","Oxford University Press","101288795","v.12(4);Apr 2017","v.1;2006","0 months or less","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/697/
"Social History of Medicine","Soc Hist Med","0951-631X","1477-4666","Oxford University Press","8810360","v.30(2);May 2017","v.21;2008","12 months","All"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Soc+Hist+Med%22%5Bjournal%5D
"Social Work Research","Soc Work Res","1070-5309","1545-6838","Oxford University Press","9434315","v.41(1);Mar 2017","v.34;2010","12 months","No"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Soc+Work+Res%22%5Bjournal%5D
"Socioaffective Neuroscience &#x0026; Psychology","Socioaffect Neurosci Psychol","","2000-9011","Taylor &#x0026; Francis","101624016","v.7(1);2017","v.1;2011","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2351/
"Soft Robotics","Soft Robot","2169-5172","2169-5180","Mary Ann Liebert, Inc.","101623819","v.4(1);Mar 1, 2017","v.1;2014","12 months","Some"," NIH Portfolio "," ",http://www.ncbi.nlm.nih.gov/pmc/?term=%22Soft+Robot%22%5Bjournal%5D
"Source Code for Biology and Medicine","Source Code Biol Med","","1751-0473","BioMed Central","101276533","v.12;2017","v.1;2006","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/449/
"South Asian Journal of Cancer","South Asian J Cancer","2278-330X","2278-4306","Medknow Publications","101618774","v.6(1);Jan-Mar 2017","v.1;2012","Immediate","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/2251/
"Southern Med Review","South Med Rev","","1174-2704","BioMed Central","101571840","v.5(2);Dec 2012","v.2;2009","Immediate","All"," Full "," Predecessor ",http://www.ncbi.nlm.nih.gov/pmc/journals/1901/
"Spermatogenesis","Spermatogenesis","2156-5554","2156-5562","Taylor &#x0026; Francis","101543545","v.6(2);May-Aug 2016","v.1;2011","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1581/
"Spinal Cord Series and Cases","Spinal Cord Ser Cases","","2058-6124","Nature Publishing Group","101680856","v.3;2017","v.1;2015","12 months","Some"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/3056/
"Sports Health","Sports Health","1941-7381","1941-0921","SAGE Publications","101518422","v.9(3);May-Jun 2017","v.1;2009","12 months","All"," Full "," ",http://www.ncbi.nlm.nih.gov/pmc/journals/1891/
